type,fscore,precision,recall,accuracy,meanwinnings,model,iteration,iterationnum,rows,cols,kfold_splits
B: Test,0.6917057902973396,0.7269736842105263,0.6597014925373135,0.6148582600195504,-0.12319278063557977,Predict Higher Odds,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.6906015566412641,0.7314888068910943,0.65468015901834,0.6135458286123203,-0.13022225868797144,Predict Higher Odds,D: Grid Seach Param. Tuning,3,4091,161,10
A: Train,0.8039387308533917,0.7240835632636973,0.9035907525823905,0.7079530638852672,0.07843376164943634,Logistic Regression,D: Grid Seach Param. Tuning,3,4091,161,10
B: Test,0.7768268597761685,0.6949352179034158,0.8805970149253731,0.6686217008797654,0.02428769348828221,Logistic Regression,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.7837858567462277,0.7070865409287546,0.8799830810285496,0.6800196791698968,0.03005284910477825,Logistic Regression,D: Grid Seach Param. Tuning,3,4091,161,10
A: Train,0.7958956056212357,0.7281632653061224,0.8775209050664043,0.7017601043024772,0.0456330606597937,ADA Booster,D: Grid Seach Param. Tuning,3,4091,161,10
B: Test,0.7746766507828455,0.7121401752190237,0.8492537313432836,0.6764418377321603,0.026815065000545226,ADA Booster,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.7832682135925426,0.7067866218124857,0.8790678226568399,0.6792998986224582,0.020062828970250763,ADA Booster,D: Grid Seach Param. Tuning,3,4091,161,10
A: Train,0.7970986081160556,0.6626466753585397,1.0,0.6626466753585397,0.03973215951078973,Decision Tree,D: Grid Seach Param. Tuning,3,4091,161,10
B: Test,0.7914943886591849,0.6549364613880743,1.0,0.6549364613880743,0.04977130408065382,Decision Tree,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.792879974175302,0.6694662136284456,0.9756626034444196,0.6641385890631523,0.03069833545342098,Decision Tree,D: Grid Seach Param. Tuning,3,4091,161,10
A: Train,0.8383434937986126,0.7320117474302497,0.9808165272995573,0.749348109517601,0.1829769267556896,Random Forest,D: Grid Seach Param. Tuning,3,4091,161,10
B: Test,0.7822832189644416,0.6720257234726688,0.935820895522388,0.6588465298142717,0.03219593951672091,Random Forest,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.7891855434399229,0.6747742390704193,0.951037314355891,0.6648673146878167,0.03762503842272105,Random Forest,D: Grid Seach Param. Tuning,3,4091,161,10
A: Train,0.7680690399137001,0.6840891621829363,0.8755533694048204,0.6496088657105606,-0.024314917122004183,SVC,D: Grid Seach Param. Tuning,3,4091,161,10
B: Test,0.7828947368421053,0.7,0.8880597014925373,0.6774193548387096,0.05205309475708639,SVC,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.7809019044100837,0.6981207079587224,0.8870783903533843,0.671713280457988,0.023317358416775406,SVC,D: Grid Seach Param. Tuning,3,4091,161,10
A: Train,0.815335463258786,0.71900826446281,0.94146581406788,0.7174054758800521,0.09890682451272292,Voting Classifier,D: Grid Seach Param. Tuning,3,4091,161,10
B: Test,0.7830006439150033,0.6885617214043035,0.9074626865671642,0.6705767350928641,0.034126110237273036,Voting Classifier,D: Grid Seach Param. Tuning,3,4091,161,10
C: Cross-Validation,0.7905402207455893,0.6980128905825295,0.9131436537063629,0.6807692766414217,0.0285060440074107,Voting Classifier,D: Grid Seach Param. Tuning,3,4091,161,10
